last_name, first_name,player_id,team_id,team,position,age,competitive_runs,bolts,hp_to_1b,sprint_speed
Blanco, Dairon,680118,118,KC,LF,30,24,14,4.11,30.5
De La Cruz, Elly,682829,113,CIN,3B,21,72,36,4.15,30.5
Witt Jr., Bobby,677951,118,KC,SS,23,142,80,4.15,30.4
Thompson, Bubba,669352,140,TEX,LF,25,24,19,4.22,30.4
Turner, Trea,607208,143,PHI,SS,30,137,58,4.13,30.3
Carroll, Corbin,682998,109,AZ,LF,22,142,68,4.08,30.1
Azocar, José,640492,135,SD,RF,27,20,10,4.35,30.1
McCarthy, Jake,664983,109,AZ,RF,25,93,42,4.17,30.1
Mateo, Jorge,622761,110,BAL,SS,28,83,35,4.20,30.0
Perkins, Blake,663368,158,MIL,RF,26,38,14,4.10,29.9
Doyle, Brenton,686668,115,COL,CF,25,64,24,4.23,29.9
Ruiz, Esteury,665923,133,OAK,CF,24,148,54,4.34,29.8
Siri, Jose,642350,139,TB,CF,27,51,16,4.22,29.8
Hill, Derek,656537,120,WSH,CF,27,23,8,4.19,29.7
Eaton, Nate,681987,118,KC,LF,26,13,4,4.30,29.6
Bae, Ji Hwan,678225,134,PIT,2B,23,97,33,4.05,29.6
Rodríguez, Julio,677594,136,SEA,CF,22,146,46,4.29,29.6
Berti, Jon,542932,146,MIA,SS,33,117,21,4.27,29.6
Hampson, Garrett,641658,146,MIA,CF,28,47,14,4.25,29.6
Turang, Brice,668930,158,MIL,2B,23,77,9,4.19,29.5
Peña, Jeremy,665161,117,HOU,SS,25,142,32,4.27,29.5
Deluca, Jonny,676356,119,LAD,CF,24,13,5,,29.5
Duran, Jarren,680776,111,BOS,CF,26,112,27,4.14,29.5
Buxton, Byron,621439,142,MIN,DH,29,82,19,4.17,29.4
Trout, Mike,545361,108,LAA,CF,31,75,20,4.32,29.4
Rosario, Amed,642708,114,CLE,SS,27,172,30,4.24,29.4
Sosa, Edmundo,624641,143,PHI,3B,27,75,12,4.34,29.4
Tatis Jr., Fernando,665487,135,SD,RF,24,113,18,4.32,29.3
Gonzalez, Romy,663853,145,CWS,2B,26,37,2,4.31,29.3
Straw, Myles,664702,114,CLE,CF,28,133,25,4.13,29.3
Rojas, Johan,679032,143,PHI,CF,22,5,3,,29.3
Westburg, Jordan,676059,110,BAL,2B,24,20,,4.38,29.3
Giménez, Andrés,665926,114,CLE,2B,24,143,18,4.18,29.2
Thomas, Lane,657041,120,WSH,RF,27,149,26,4.37,29.2
Vierling, Matt,663837,116,DET,RF,26,102,3,4.39,29.2
Taveras, Leody,665750,140,TEX,CF,24,123,18,4.22,29.2
Caballero, José,676609,136,SEA,2B,26,44,3,4.23,29.2
Mitchell, Garrett,669003,158,MIL,CF,24,16,5,4.09,29.2
Adell, Jo,666176,108,LAA,RF,24,6,2,,29.2
